id,name,default_code,categ_id/id,type,standard_price,list_price,uom_id/id,sale_ok,purchase_ok,description_sale
partyon_demo_product_impresion_3d_creality,Impresion 3D CREALITY,PTY-0002,partyon_presupuestacion.partyon_demo_categ_general,consu,4.175,10.1035,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: General. Luz: 0.75 | Despiece: 0.235 | Maquina: 1 | Manipulacion: 1.25
partyon_demo_product_impresion_3d_bambulab,Impresion 3D BAMBULAB,PTY-0003,partyon_presupuestacion.partyon_demo_categ_general,consu,23.39,56.6038,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: General. Luz: 3.06 | Despiece: 3 | Maquina: 4.08 | Manipulacion: 1.25
partyon_demo_product_impresion_3d_40_relleno,Impresion 3D 40% Relleno,PTY-0004,partyon_presupuestacion.partyon_demo_categ_general,consu,3.5025,10.409025,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: General. Tamano material: 0.8 | Luz: 0.9 | Despiece: 0.4125 | Maquina: 0.54 | Manipulacion: 0
partyon_demo_product_madera_mdf_3mm_nuevo,Madera mdf 3mm (Nuevo),PTY-0006,partyon_presupuestacion.partyon_demo_categ_madera,consu,11.31,27.3702,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: MADERA. Tamano material: 1350 | Precio fabrica: 15 | Referencia plancha: 29768 | Luz: 0.18 | Despiece: 0 | Maquina: 2.88 | Manipulacion: 3.75 | Diseno: 2.5 | Pintura: 2
partyon_demo_product_madera_mdf_blanco_3mm,Madera mdf blanco 3mm,PTY-0007,partyon_presupuestacion.partyon_demo_categ_madera,consu,2.878594,8.812392,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: MADERA. Tamano material: 999 | Precio fabrica: 0.95 | Referencia plancha: 1200 | Luz: 0.09 | Despiece: 0.197719 | Maquina: 1.8 | Manipulacion: 0 | Diseno: 0
partyon_demo_product_madera_mdf_4mm,Madera mdf 4mm,PTY-0008,partyon_presupuestacion.partyon_demo_categ_madera,consu,28.899785,42.167199,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: MADERA. Tamano material: 1000 | Precio fabrica: 25 | Referencia plancha: 29768 | Luz: 0.35 | Despiece: 0.209957 | Maquina: 7 | Manipulacion: 5 | Diseno: 15 | Pintura: 0.5
partyon_demo_product_madera_mdf_10mm,Madera mdf 10mm,PTY-0009,partyon_presupuestacion.partyon_demo_categ_madera,consu,12.44048,24.880959,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: MADERA. Tamano material: 10000 | Precio fabrica: 35.47 | Referencia plancha: 29768 | Luz: 0.025 | Maquina: 0.5
partyon_demo_product_madera_mdf_16mm,Madera mdf 16mm,PTY-0010,partyon_presupuestacion.partyon_demo_categ_madera,consu,16.552771,33.105541,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: MADERA. Tamano material: 2600 | Precio fabrica: 51.7759 | Referencia plancha: 29768 | Luz: 0 | Despiece: 1.130554 | Maquina: 0.9 | Manipulacion: 0.5 | Diseno: 7.5 | Pintura: 2
partyon_demo_product_madera_contachapada_4mm,Madera contachapada 4mm,PTY-0011,partyon_presupuestacion.partyon_demo_categ_madera,consu,9.245287,22.537986,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: MADERA. Tamano material: 625 | Precio fabrica: 33 | Referencia plancha: 30500 | Luz: 1.2 | Despiece: 0.169057 | Maquina: 7.2 | Manipulacion: 0 | Diseno: 0
partyon_demo_product_madera_contachapada_4mm_2,Madera contachapada 4mm,PTY-0012,partyon_presupuestacion.partyon_demo_categ_madera,consu,6.716967,13.433934,uom.product_uom_unit,True,True,Demo generado desde Excel. Familia: MADERA. Tamano material: 434 | Precio fabrica: 33 | Referencia plancha: 30500 | Luz: 0.03 | Despiece: 0.117393 | Maquina: 0.6 | Manipulacion: 2.5 | Diseno: 0 | Pintura: 3
